District,Affected_Population,Severity_Level,Displaced_Families
Rajanpur,150000,High,5000
Dadu,200000,Critical,8000
Jaffarabad,120000,Medium,4500
Qambar Shahdadkot,90000,High,3200
Larkana,110000,Medium,3800
Sukkur,85000,Low,2800
Khairpur,95000,Medium,3100
Thatta,75000,High,2500
Jamshoro,65000,Low,2200
Shikarpur,80000,Medium,2700
Kashmore,70000,High,2400
Ghotki,88000,Medium,3000
Jacobabad,92000,Critical,3500
Sanghar,78000,Medium,2600
Mirpurkhas,82000,Low,2900
Tharparkar,68000,High,2300
Badin,72000,Medium,2500
Matiari,60000,Low,2000
Naushahro Feroze,75000,Medium,2600
Nawabshah,85000,High,3000
